ID,Weekly_Sales
1_1_2012-11-02,37958.7161084346
1_1_2012-11-09,19100.63953207
1_1_2012-11-16,19071.69192609
1_1_2012-11-23,20564.9639059066
1_1_2012-11-30,24896.111013198
1_1_2012-12-07,29995.5306446054
1_1_2012-12-14,40307.3795300991
1_1_2012-12-21,45153.8855831674
1_1_2012-12-28,31294.8566999422
1_1_2013-01-04,16474.9412982873
1_1_2013-01-11,16750.6823788838
1_1_2013-01-18,18134.6376600936
1_1_2013-01-25,18124.798327292
1_1_2013-02-01,22921.3600614067
1_1_2013-02-08,36905.7375364065
1_1_2013-02-15,48390.6322244543
1_1_2013-02-22,20220.8530407127
1_1_2013-03-01,20138.3051456003
1_1_2013-03-08,21003.6888565582
1_1_2013-03-15,21319.8826409763
1_1_2013-03-22,21480.6833798393
1_1_2013-03-29,25379.3053246366
1_1_2013-04-05,40438.611136315
1_1_2013-04-12,31541.973439413
1_1_2013-04-19,25646.5325982062
1_1_2013-04-26,23153.4427538108
1_1_2013-05-03,17969.7910480714
1_1_2013-05-10,17549.9807499787
1_1_2013-05-17,16967.1322307734
1_1_2013-05-24,16247.4053999763
1_1_2013-05-31,16025.9260452695
1_1_2013-06-07,16721.9146475977
1_1_2013-06-14,16333.1456172725
1_1_2013-06-21,16028.0627422387
1_1_2013-06-28,15441.356598878
1_1_2013-07-05,16828.9417455973
1_1_2013-07-12,16005.5336214264
1_1_2013-07-19,15875.6312949419
1_1_2013-07-26,15589.4480252364
1_2_2012-11-02,47893.5200541454
1_2_2012-11-09,45790.9249643797
1_2_2012-11-16,44443.219773751
1_2_2012-11-23,44786.9456370895
1_2_2012-11-30,46262.7752588943
1_2_2012-12-07,49665.2405895748
1_2_2012-12-14,51668.0242733558
1_2_2012-12-21,64534.8438452316
1_2_2012-12-28,44324.8980317065
1_2_2013-01-04,45133.5708204421
1_2_2013-01-11,43958.6444045374
1_2_2013-01-18,43928.4352697809
1_2_2013-01-25,42052.9769708148
1_2_2013-02-01,51967.6619543361
1_2_2013-02-08,50188.625071461
1_2_2013-02-15,47820.9730823924
1_2_2013-02-22,47385.3836134579
1_2_2013-03-01,53142.6439942341
1_2_2013-03-08,49292.232331581
1_2_2013-03-15,46989.3459995252
1_2_2013-03-22,45261.5273174544
1_2_2013-03-29,47091.2794537265
1_2_2013-04-05,51027.1145464333
1_2_2013-04-12,44816.2936858118
1_2_2013-04-19,46302.5004092791
1_2_2013-04-26,45333.5174683332
1_2_2013-05-03,50741.723492707
1_2_2013-05-10,46546.0567171109
1_2_2013-05-17,44938.0127725864
1_2_2013-05-24,45917.6124042125
1_2_2013-05-31,47865.5898314567
1_2_2013-06-07,48753.0068826894
1_2_2013-06-14,45555.9560703018
1_2_2013-06-21,45158.6843857175
1_2_2013-06-28,46893.8226540084
1_2_2013-07-05,48278.0146433528
1_2_2013-07-12,44476.8393050909
1_2_2013-07-19,45417.7569126039
1_2_2013-07-26,44754.9027303044
1_3_2012-11-02,9651.45315937153
1_3_2012-11-09,10280.0966813053
1_3_2012-11-16,10384.3450554029
1_3_2012-11-23,9728.64475169136
1_3_2012-11-30,10451.0359513086
1_3_2012-12-07,12280.6833691034
1_3_2012-12-14,13278.0488325433
1_3_2012-12-21,13601.3869525418
1_3_2012-12-28,10689.2213300745
1_3_2013-01-04,14212.1067911597
1_3_2013-01-11,14064.6225493483
1_3_2013-01-18,12021.9914809047
1_3_2013-01-25,10959.6410455948
1_3_2013-02-01,12223.0836569079
1_3_2013-02-08,12329.5430939141
1_3_2013-02-15,11108.7748952424
1_3_2013-02-22,10817.6310971646
1_3_2013-03-01,11527.6132719643
1_3_2013-03-08,11717.7535963672
1_3_2013-03-15,8810.12452197563
1_3_2013-03-22,8587.16153680865
1_3_2013-03-29,9200.28339175416
1_3_2013-04-05,9983.77140303459
1_3_2013-04-12,8474.60521265436
1_3_2013-04-19,8758.86061592073
1_3_2013-04-26,8829.91284616988
1_3_2013-05-03,10689.2082968066
1_3_2013-05-10,9881.89388388962
1_3_2013-05-17,8493.15815480343
1_3_2013-05-24,8390.4210202308
1_3_2013-05-31,8161.22877273685
1_3_2013-06-07,8311.3515409269
1_3_2013-06-14,8001.40956355469
1_3_2013-06-21,7041.77392606028
1_3_2013-06-28,7785.02821291949
1_3_2013-07-05,8136.80580316538
1_3_2013-07-12,12499.6846568509
1_3_2013-07-19,18405.131844105
1_3_2013-07-26,22013.4303001902
1_4_2012-11-02,40782.9434416509
1_4_2012-11-09,38468.6557676911
1_4_2012-11-16,38861.8717055742
1_4_2012-11-23,47687.7850638024
1_4_2012-11-30,40435.2841330529
1_4_2012-12-07,40115.4407219064
1_4_2012-12-14,39657.2482834509
1_4_2012-12-21,48522.3127074787
1_4_2012-12-28,39203.7829694162
1_4_2013-01-04,41992.9636060104
1_4_2013-01-11,37586.7491569781
1_4_2013-01-18,35004.1575640677
1_4_2013-01-25,34792.2122467194
1_4_2013-02-01,40026.6949134031
1_4_2013-02-08,40109.0847351255
1_4_2013-02-15,37802.1857564257
1_4_2013-02-22,35910.5895249958
1_4_2013-03-01,39726.0494385871
1_4_2013-03-08,39103.4613221952
1_4_2013-03-15,38133.5246576088
1_4_2013-03-22,37225.2748947004
1_4_2013-03-29,37727.6211069298
1_4_2013-04-05,41266.2284449608
1_4_2013-04-12,37180.6833055279
1_4_2013-04-19,37098.2313685035
1_4_2013-04-26,37147.7994771322
1_4_2013-05-03,41627.940079697
1_4_2013-05-10,36737.5455464357
1_4_2013-05-17,35671.9447755973
1_4_2013-05-24,38677.3838255824
1_4_2013-05-31,42274.8052637517
1_4_2013-06-07,40296.5360142676
1_4_2013-06-14,38694.7772388268
1_4_2013-06-21,37665.3773289184
1_4_2013-06-28,39304.3212804986
1_4_2013-07-05,43494.5465533564
1_4_2013-07-12,37536.6855052837
1_4_2013-07-19,37709.1611951224
1_4_2013-07-26,36413.3351630118
1_5_2012-11-02,30221.1780170094
1_5_2012-11-09,29409.5619777463
1_5_2012-11-16,26416.3814159555
1_5_2012-11-23,73208.3373837118
1_5_2012-11-30,35063.3013233838
1_5_2012-12-07,38101.4273537357
1_5_2012-12-14,42204.0667144716
1_5_2012-12-21,54162.5125998615
1_5_2012-12-28,42467.2183611736
1_5_2013-01-04,22084.4564041102
1_5_2013-01-11,18675.1410363856
1_5_2013-01-18,18600.5340892088
1_5_2013-01-25,20457.1196377611
1_5_2013-02-01,29018.0357035247
1_5_2013-02-08,36114.6124272757
1_5_2013-02-15,37680.4983425703
1_5_2013-02-22,27241.8861321608
1_5_2013-03-01,28832.9169007996
1_5_2013-03-08,24251.3766191346
1_5_2013-03-15,25637.1265009734
1_5_2013-03-22,22340.4376521179
1_5_2013-03-29,22668.1291352338
1_5_2013-04-05,24983.3588575432
1_5_2013-04-12,19217.4630703814
1_5_2013-04-19,17800.6508706198
1_5_2013-04-26,16911.9058685112
1_5_2013-05-03,17227.5792904849
1_5_2013-05-10,16182.5911787428
1_5_2013-05-17,16413.9696364358
1_5_2013-05-24,17337.1469866606
1_5_2013-05-31,16671.7638640744
1_5_2013-06-07,21307.6631230902
1_5_2013-06-14,19333.3135045927
1_5_2013-06-21,21981.223825312
1_5_2013-06-28,18958.4950099732
1_5_2013-07-05,18333.2402422948
1_5_2013-07-12,17619.5757837628
1_5_2013-07-19,17638.204987868
1_5_2013-07-26,14954.287501334
1_6_2012-11-02,5140.70146093286
1_6_2012-11-09,3039.31728099194
1_6_2012-11-16,2340.83669592185
1_6_2012-11-23,16331.4753167444
1_6_2012-11-30,5617.82550655495
1_6_2012-12-07,5572.06091836534
1_6_2012-12-14,8275.17581817932
1_6_2012-12-21,14374.960126853
1_6_2012-12-28,9715.39383891326
1_6_2013-01-04,2942.53465122233
1_6_2013-01-11,1967.11653842983
1_6_2013-01-18,1941.26894174299
1_6_2013-01-25,1360.10737265867
1_6_2013-02-01,3210.17096240233
1_6_2013-02-08,5199.62424287207
1_6_2013-02-15,3491.8689970019
1_6_2013-02-22,3295.06106991965
1_6_2013-03-01,4540.58256069833
1_6_2013-03-08,3443.8708610935
1_6_2013-03-15,2951.67613576035
1_6_2013-03-22,2860.92032102993
1_6_2013-03-29,3420.43899940636
1_6_2013-04-05,3553.528828462
1_6_2013-04-12,3560.09843406809
1_6_2013-04-19,2537.26169432428
1_6_2013-04-26,3101.10211302289
1_6_2013-05-03,4799.59615939795
1_6_2013-05-10,3337.6892544679
1_6_2013-05-17,4668.82308105021
1_6_2013-05-24,4545.99281869393
1_6_2013-05-31,3254.32596458254
1_6_2013-06-07,3590.10127737347
1_6_2013-06-14,3160.47238068283
1_6_2013-06-21,3537.03792529542
1_6_2013-06-28,3832.24550726841
1_6_2013-07-05,2573.11358543375
1_6_2013-07-12,2455.60703805321
1_6_2013-07-19,2970.61788813479
1_6_2013-07-26,2221.75356153848
1_7_2012-11-02,23828.4900044529
1_7_2012-11-09,25318.7622546965
1_7_2012-11-16,22181.2810068258
1_7_2012-11-23,68756.5783120051
1_7_2012-11-30,36800.2799845087
1_7_2012-12-07,44131.3508136407
1_7_2012-12-14,62066.348956884
1_7_2012-12-21,99496.9391792771
1_7_2012-12-28,67065.126207809
1_7_2013-01-04,12487.571669135
1_7_2013-01-11,9513.02075411404
1_7_2013-01-18,10338.676810739
1_7_2013-01-25,11274.3814295118
1_7_2013-02-01,16669.1559839423
1_7_2013-02-08,20784.1724634148
1_7_2013-02-15,19149.7082196004
1_7_2013-02-22,18376.5355487654
1_7_2013-03-01,17485.072854715
1_7_2013-03-08,18361.1384974502
1_7_2013-03-15,21004.8058614411
1_7_2013-03-22,17326.4203289634
1_7_2013-03-29,18943.4142141245
1_7_2013-04-05,24232.5909423029
1_7_2013-04-12,20616.3630714962
1_7_2013-04-19,20718.513770871
1_7_2013-04-26,19963.1371886518
1_7_2013-05-03,21369.5513253174
1_7_2013-05-10,22001.5380558365
1_7_2013-05-17,19030.3244920478
1_7_2013-05-24,27725.0977126605
1_7_2013-05-31,33215.4347942159
1_7_2013-06-07,32662.0597908513
1_7_2013-06-14,27799.4141271217
1_7_2013-06-21,24340.309472542
1_7_2013-06-28,23993.9787039926
1_7_2013-07-05,24319.452763937
1_7_2013-07-12,17123.394162626
1_7_2013-07-19,16260.5935386025
1_7_2013-07-26,16537.3669937771
1_8_2012-11-02,40781.5603293764
1_8_2012-11-09,37809.7251413797
1_8_2012-11-16,36952.1464623948
1_8_2012-11-23,36874.0603491549
1_8_2012-11-30,39252.9285099513
1_8_2012-12-07,41578.6681986568
1_8_2012-12-14,40244.222483435
1_8_2012-12-21,43662.1489901746
1_8_2012-12-28,35959.2100132783
1_8_2013-01-04,39684.0422487145
1_8_2013-01-11,36727.0502718588
1_8_2013-01-18,37803.1276743214
1_8_2013-01-25,37142.0891943533
1_8_2013-02-01,43138.6538702885
1_8_2013-02-08,40660.9783972909
1_8_2013-02-15,39527.6545437042
1_8_2013-02-22,38988.97875805
1_8_2013-03-01,41956.2955300558
1_8_2013-03-08,39014.3377627215
1_8_2013-03-15,37972.3190122069
1_8_2013-03-22,36280.6528500043
1_8_2013-03-29,39541.9052279524
1_8_2013-04-05,42060.6904489012
1_8_2013-04-12,38173.296722804
1_8_2013-04-19,38187.5563142738
1_8_2013-04-26,39100.774772747
1_8_2013-05-03,42816.4294255392
1_8_2013-05-10,39291.5693736887
1_8_2013-05-17,39599.3976910655
1_8_2013-05-24,40287.8801217051
1_8_2013-05-31,41620.8203097822
1_8_2013-06-07,41343.5083964255
1_8_2013-06-14,39151.435841635
1_8_2013-06-21,38743.5937257153
1_8_2013-06-28,38734.3899251453
1_8_2013-07-05,41760.9553339342
1_8_2013-07-12,37473.0791941947
1_8_2013-07-19,38561.6840757345
1_8_2013-07-26,37372.4155099478
1_9_2012-11-02,54640.1036684337
1_9_2012-11-09,41700.0898936441
1_9_2012-11-16,32573.5233446357
1_9_2012-11-23,45563.4826247279
1_9_2012-11-30,27626.913176721
1_9_2012-12-07,29213.6254864073
1_9_2012-12-14,33423.0908796853
1_9_2012-12-21,43562.9509806139
1_9_2012-12-28,36121.9339634319
1_9_2013-01-04,22225.423262141
1_9_2013-01-11,17052.532467252
1_9_2013-01-18,14906.3350436532
1_9_2013-01-25,16062.2109523781
1_9_2013-02-01,21451.1300011431
1_9_2013-02-08,21143.5284316857
1_9_2013-02-15,25280.5323701171
1_9_2013-02-22,27622.9571038907
1_9_2013-03-01,32256.8876613056
1_9_2013-03-08,31410.2853655797
1_9_2013-03-15,39370.6632665816
1_9_2013-03-22,38175.5940895195
1_9_2013-03-29,43528.7629040665
1_9_2013-04-05,38528.060562069
1_9_2013-04-12,34318.1856677549
1_9_2013-04-19,31198.4508934451
1_9_2013-04-26,30319.9902849524
1_9_2013-05-03,31350.8883373004
1_9_2013-05-10,28899.4396124807
1_9_2013-05-17,27955.8601033151
1_9_2013-05-24,30512.7732218757
1_9_2013-05-31,35935.7211347928
1_9_2013-06-07,31797.293974167
